satelite_id,Datetime,a0,a1,a2,AODE,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,BDT Week,Spare2,SV accurracy,SatH1,TGD1,TGD2,t_tm,AODC
C29,2024-10-08 10:00:00,0.00034580263309200003,5.06350517071e-12,0.0,1.0,47.09375,4.16660212713e-09,2.09392744211,2.18441709876e-06,9.393575601280001e-05,1.1199153959799999e-06,5282.615028380001,208800.0,-2.3283064365400003e-09,-0.9371399014670001,-3.1664967536900005e-08,0.9550482599480001,334.75,2.89117559305,-7.22422948958e-09,6.857428496559999e-11,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,208800.0,1.0
C29,2024-10-08 11:00:00,0.00034582230728100004,5.24646992517e-12,0.0,1.0,36.5625,4.089456056550001e-09,2.5733888845,1.82213261724e-06,9.27284127101e-05,1.13248825073e-06,5282.61779976,212400.0,-5.122274160390001e-09,-0.9371659267800001,-3.53902578354e-08,0.9550485159580001,334.296875,2.89928516092,-7.220657912240001e-09,7.07172313708e-11,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,212400.0,1.0
C29,2024-10-08 12:00:00,0.00034584000241,5.09281505856e-12,0.0,1.0,31.578125,4.02231040252e-09,3.05926560742,1.65915116668e-06,9.183795191350002e-05,9.951181709769998e-07,5282.6195468900005,216000.0,1.25728547573e-08,-0.9371919813510001,-5.9138983488100005e-08,0.95504888754,338.875,2.90097830281,-7.19565687085e-09,7.71460705864e-11,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,216000.0,1.0
C29,2024-10-08 13:00:00,0.0003458581632,5.02087260656e-12,0.0,1.0,29.15625,4.011595670490001e-09,-2.74047292911,1.5357509255399997e-06,9.26818465814e-05,1.33644789457e-06,5282.61774063,219600.00000000003,6.053596735e-08,-0.9372178267240001,-3.44589352608e-08,0.9550493966350001,332.5625,2.90510069185,-7.148154892200001e-09,7.143154683919999e-11,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,219600.00000000003,1.0
C29,2024-10-08 14:00:00,0.00034587329719200003,4.60698146298e-12,0.0,1.0,26.1875,3.98802326003e-09,-2.25634481023,1.33691355586e-06,9.30203823373e-05,1.4347024262e-06,5282.61684227,223200.00000000003,4.33064997196e-08,-0.9372433634220001,1.9557774066900002e-08,0.9550498179560001,330.796875,2.90854222565,-7.1074389105e-09,4.750197864809999e-11,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,223200.00000000003,1.0
C29,2024-10-08 15:00:00,0.00034589262213600004,4.96225283086e-12,0.0,1.0,33.109375,3.92052044827e-09,-1.75553947937,1.59395858645e-06,9.279127698390002e-05,1.6670674085599998e-06,5282.61927223,226799.99999999997,3.25962901115e-09,-0.9372687786980001,1.25728547573e-08,0.9550500315420001,324.6875,2.89530665426,-7.09136681246e-09,2.07151485834e-11,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,226799.99999999997,1.0
C29,2024-10-08 16:00:00,0.00034591194707900004,5.14788212058e-12,0.0,1.0,33.234375,3.8737327850900005e-09,-1.25582732136,1.5995465219e-06,9.307474829260001e-05,2.01677903533e-06,5282.62153625,230399.99999999997,4.19095158577e-09,-0.9372942173809999,-7.91624188423e-09,0.9550501017620001,316.140625,2.88316327704,-7.091723970200001e-09,5.35736601294e-12,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,230399.99999999997,1.0
C29,2024-10-08 17:00:00,0.000345930224285,5.1292303737699996e-12,0.0,1.0,38.265625,3.88980488313e-09,-0.7731683920810001,1.86869874597e-06,9.252480231230001e-05,1.91666185856e-06,5282.62015343,234000.0,2.0023435354200002e-08,-0.9373196794700001,-7.450580596920001e-09,0.9550500944470001,317.828125,2.88807236929,-7.098867124880001e-09,-5.0002082787499994e-12,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,234000.0,1.0
C29,2024-10-08 18:00:00,0.000345949898474,5.29265520299e-12,0.0,1.0,50.578125,3.93766401951e-09,-0.291791978216,2.51224264503e-06,9.073142427950001e-05,2.23470851779e-06,5282.61647987,237600.0,2.23517417908e-08,-0.9373451722800001,1.35041773319e-08,0.9550500081350001,311.765625,2.89426453872,-7.11458206519e-09,-1.3214836165299998e-11,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,237600.0,1.0
C29,2024-10-08 19:00:00,0.00034596875775600003,5.26867438566e-12,0.0,1.0,52.359375,3.95337895982e-09,0.19662896551700002,2.6049092412e-06,8.993607480080001e-05,2.5578774511799997e-06,5282.61492157,241200.0,1.02445483208e-08,-0.937370780661,1.86264514923e-08,0.9550499057310001,306.1875,2.89341346418,-7.12601111268e-09,-1.42863093678e-11,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,241200.0,1.0
