Satelitenumber,Datetime,X,Y,Z,azimuth,zenith
E27,2024-09-18 13:50:00,12480598.73584376,-14366620.962924981,22679657.062308926,274.725447344835,40.803825697219764
E27,2024-09-18 13:50:00,12378765.998697663,-14377558.251059577,22728468.381493326,275.13048479959144,40.8216088302222
E27,2024-09-18 13:50:00,12399146.986097459,-14375340.695804538,22718762.62582097,275.0495475620224,40.81780190438826
E27,2024-09-18 13:50:00,12399146.98327281,-14375340.696755338,22718762.626689736,275.0495475725353,40.81780190672193
E27,2024-09-18 14:00:00,15114453.787817195,-14209613.662660128,21123127.968303327,263.8797222442284,41.48816127495875
E27,2024-09-18 14:00:00,15019020.530291434,-14210980.45697233,21190163.351011313,264.27879247307715,41.422685360778814
E27,2024-09-18 14:00:00,15038130.938621847,-14210680.090108018,21176808.937301125,264.1988781247089,41.43553926995086
E27,2024-09-18 14:00:00,15038130.937011516,-14210680.09066284,21176808.938026603,264.19887813120624,41.43553927040019
E27,2024-09-18 14:10:00,17536113.638160575,-14290441.325724076,19100288.81595005,253.8986157776279,44.28148230930012
E27,2024-09-18 14:10:00,17450021.497727737,-14283598.808722671,19184068.314049155,254.2445525777149,44.14286666646425
E27,2024-09-18 14:10:00,17467271.946311533,-14284945.327123873,19167360.069279436,254.17516373678893,44.170396160998486
E27,2024-09-18 14:10:00,17467271.944328833,-14284945.32784073,19167360.070484735,254.17516374482554,44.17039616042968
E30,2024-09-18 12:50:00,16794026.597640637,-7847679.402660917,23074367.296725947,253.00931437426107,26.373787075283488
E30,2024-09-18 12:50:00,16725398.03076431,-7895064.993245774,23107987.18045164,253.49183899716718,26.405442517665698
E30,2024-09-18 12:50:00,16725398.029476585,-7895064.994557535,23107987.180893186,253.49183900666918,26.40544251937235
E30,2024-09-18 12:50:00,16725398.03076431,-7895064.993245774,23107987.18045164,253.49183899716718,26.405442517665698
E30,2024-09-18 13:00:00,18226750.247738615,-6920430.596135226,22270665.524787556,242.75132425467854,26.346666358382258
E30,2024-09-18 13:00:00,18157980.257002655,-6962300.729517741,22313709.319577422,243.24398912962548,26.32014698854995
E30,2024-09-18 13:00:00,18157980.258626003,-6962300.727881661,22313709.318825375,243.24398911662178,26.320146987581726
E30,2024-09-18 13:00:00,18157980.257002655,-6962300.729517741,22313709.319577422,243.24398912962548,26.32014698854995
E30,2024-09-18 13:10:00,20493941.2750724,-5681912.555004642,20587996.167243116,227.5168259947432,28.743872052904848
E30,2024-09-18 13:10:00,20427036.784067333,-5714606.219130919,20645311.989314515,227.92511972213603,28.632583922851016
E30,2024-09-18 13:10:00,20427036.78294327,-5714606.220269215,20645311.990064178,227.92511973088216,28.63258392220252
E30,2024-09-18 13:10:00,20427036.784067333,-5714606.219130919,20645311.989314515,227.92511972213603,28.632583922851016
E30,2024-09-18 13:20:00,22654656.652536828,-4749529.706055219,18450554.470390875,216.0939447139607,33.531794059442234
E30,2024-09-18 13:20:00,22592189.32148578,-4773125.689939828,18520875.3339098,216.37563642984188,33.36227488243897
E30,2024-09-18 13:20:00,22592189.320073314,-4773125.691475512,18520875.335166484,216.37563643961988,33.362274880302934
E30,2024-09-18 13:20:00,22592189.32148578,-4773125.689939828,18520875.3339098,216.37563642984188,33.36227488243897
E30,2024-09-18 13:30:00,24625017.250446737,-4110759.2002779236,15905570.839640593,208.56123041625122,39.811373361113475
E30,2024-09-18 13:30:00,24569430.327309307,-4125908.119201914,15987342.706651496,208.74064910818606,39.60850373741344
E30,2024-09-18 13:30:00,24569430.328236584,-4125908.1181335463,15987342.705563419,208.74064910262055,39.60850373960645
E30,2024-09-18 13:30:00,24569430.327309307,-4125908.119201914,15987342.706651496,208.74064910818606,39.60850373741344
E30,2024-09-18 13:40:00,26327714.044208813,-3734665.8986487873,13009266.721174829,203.83130062016605,46.899260405078664
E30,2024-09-18 13:40:00,26281190.48120786,-3742546.654055833,13100682.8631724,203.94292621587599,46.67941758933815
E30,2024-09-18 13:40:00,26281190.480946574,-3742546.654381007,13100682.863578761,203.94292621729147,46.6794175884926
E30,2024-09-18 13:40:00,26281190.48120786,-3742546.654055833,13100682.8631724,203.94292621587599,46.67941758933815
E30,2024-09-18 13:50:00,27696177.572517276,-3573897.552936735,9825613.080006264,200.88824533715194,54.369112005459286
E30,2024-09-18 13:50:00,27660522.146727536,-3576144.200438756,9924653.995130826,200.95799784460368,54.1421997869636
E30,2024-09-18 13:50:00,27660522.1463096,-3576144.201008084,9924653.996024814,200.9579978467645,54.14219978512238
E30,2024-09-18 13:50:00,27660522.146727536,-3576144.200438756,9924653.995130826,200.95799784460368,54.1421997869636
E30,2024-09-18 14:00:00,28710124.022503912,-3569617.257775719,6279592.64417428,198.9636625380115,62.2792446413404
E30,2024-09-18 14:00:00,28712648.103179175,-3569788.6219445,6267956.536613548,198.9587702735233,62.30456056533697
E30,2024-09-18 14:00:00,28712648.103355054,-3569788.621567142,6267956.536074753,198.95877027234124,62.30456056638033
E30,2024-09-18 14:00:00,28712648.103179175,-3569788.6219445,6267956.536613548,198.9587702735233,62.30456056533697
E30,2024-09-18 14:10:00,29238617.55080608,-3644835.983333579,2882262.93992435,197.7768956419373,69.51910727674289
E30,2024-09-18 14:10:00,29228139.4340461,-3642024.491150148,2989870.5740317795,197.80868797139377,69.29405453197022
E30,2024-09-18 14:10:00,29228139.434152115,-3642024.4908022783,2989870.5735279275,197.80868797041583,69.29405453291312
E30,2024-09-18 14:10:00,29228139.4340461,-3642024.491150148,2989870.5740317795,197.80868797139377,69.29405453197022
E34,2024-09-18 12:50:00,26372435.960427657,-2639967.5451060724,13196532.362120936,200.54975643527703,45.951093425506684
E34,2024-09-18 12:50:00,26404134.985610235,-2650126.5790012158,13130996.475275617,200.52909912530848,46.11805685632245
E34,2024-09-18 12:50:00,26430662.59537934,-2658558.1657125596,13075848.887646444,200.51154092292703,46.258290898979496
E34,2024-09-18 12:50:00,26429401.444421824,-2658158.7707281886,13078476.973277805,200.51238125585135,46.25161341357473
E34,2024-09-18 13:00:00,25006577.57216797,-2120692.7501806575,15707993.461997086,201.09952408761404,39.26391071467243
E34,2024-09-18 13:00:00,25057334.322335873,-2142679.729719022,15623965.448509026,201.0913811331344,39.497834498010526
E34,2024-09-18 13:00:00,25087694.090961974,-2155735.101827398,15573407.420308111,201.0860294783202,39.63820298037313
E34,2024-09-18 13:00:00,25086250.000822015,-2155115.742668372,15575817.33875921,201.08629215712787,39.63151854294753
E34,2024-09-18 13:10:00,23162570.792625055,-1189666.0681727296,18400337.26439245,200.6030189092809,31.285673107312665
E34,2024-09-18 13:10:00,23218779.426528398,-1221766.9832771018,18327309.02242349,200.64487936390796,31.516329709826874
E34,2024-09-18 13:10:00,23252445.931324102,-1240882.7363868144,18283326.43874118,200.66900062697889,31.654807458566882
E34,2024-09-18 13:10:00,23250843.772614595,-1239974.9251888294,18285423.657457337,200.66786871777077,31.648211884351472
E34,2024-09-18 13:20:00,21177402.049878918,94473.53468760714,20686209.73376277,197.4643811973863,23.53665045976344
